형태소,품사,분류,카운트
,Foreign,7,1
!,Punctuation,1,2
!,Punctuation,2,1
!,Punctuation,4,2
!,Punctuation,5,3
!,Punctuation,6,4
!,Punctuation,7,23
!,Punctuation,8,92
!,Punctuation,9,127
!,Punctuation,10,330
!!,Punctuation,5,2
!!,Punctuation,7,10
!!,Punctuation,8,31
!!,Punctuation,9,46
!!,Punctuation,10,143
!!!,Punctuation,4,1
!!!,Punctuation,7,3
!!!,Punctuation,8,11
!!!,Punctuation,9,16
!!!,Punctuation,10,83
!!!!,Punctuation,1,1
!!!!,Punctuation,8,4
!!!!,Punctuation,9,6
!!!!,Punctuation,10,40
!!!!^^,Punctuation,10,1
!!!...,Punctuation,10,1
!!!~,Punctuation,10,1
"!!""",Punctuation,5,1
!!^^,Punctuation,8,1
!!^^,Punctuation,9,2
!!^^,Punctuation,10,1
!!~~!!~,Punctuation,9,1
!'?,Punctuation,8,1
!),Punctuation,8,1
!),Punctuation,10,1
!...,Punctuation,10,1
!?,Punctuation,9,1
!?,Punctuation,10,1
!^^,Punctuation,9,1
!^^,Punctuation,10,1
!~^^,Punctuation,5,1
"""",Punctuation,1,2
"""",Punctuation,4,2
"""",Punctuation,5,1
"""",Punctuation,8,4
"""",Punctuation,9,3
"""",Punctuation,10,8
""",",Punctuation,9,1
#,Punctuation,6,1
#_#,Punctuation,10,1
#~^^,Punctuation,10,1
&,Punctuation,5,2
&,Punctuation,8,1
&,Punctuation,10,1
',Punctuation,6,2
',Punctuation,7,4
',Punctuation,8,4
',Punctuation,9,4
',Punctuation,10,5
(,Punctuation,1,1
(,Punctuation,2,1
(,Punctuation,5,1
(,Punctuation,6,2
(,Punctuation,8,7
(,Punctuation,9,4
(,Punctuation,10,25
(-,Punctuation,7,2
(?),Punctuation,6,1
(?),Punctuation,7,1
(?),Punctuation,10,2
),Punctuation,1,1
),Punctuation,2,1
),Punctuation,5,1
),Punctuation,6,1
),Punctuation,7,1
),Punctuation,8,4
),Punctuation,9,3
),Punctuation,10,24
)',Punctuation,10,1
"),",Punctuation,7,1
).,Punctuation,9,1
).,Punctuation,10,1
)_(,Punctuation,10,1
*,Punctuation,10,2
**,Punctuation,10,1
*^,Punctuation,10,1
*^^*,Punctuation,10,2
+,Punctuation,2,1
+,Punctuation,6,2
+,Punctuation,9,2
+,Punctuation,10,1
+!,Punctuation,10,1
+_+,Punctuation,10,1
",",Punctuation,1,8
",",Punctuation,2,9
",",Punctuation,3,1
",",Punctuation,4,8
",",Punctuation,5,10
",",Punctuation,6,36
",",Punctuation,7,50
",",Punctuation,8,75
",",Punctuation,9,107
",",Punctuation,10,180
",,",Punctuation,6,3
",,",Punctuation,7,1
",,",Punctuation,8,3
",,",Punctuation,9,2
",,",Punctuation,10,6
",,,",Punctuation,1,1
",,,",Punctuation,4,1
",,,",Punctuation,9,1
",,,,",Punctuation,4,1
",,,,",Punctuation,9,2
",,,,",Punctuation,10,1
",,,^^",Punctuation,9,1
",,??",Punctuation,9,1
",.",Punctuation,7,1
",.",Punctuation,10,1
",.,.,.,.,.",Punctuation,1,1
",..",Punctuation,9,1
",...",Punctuation,7,1
",...",Punctuation,9,1
-,Punctuation,7,3
-,Punctuation,8,4
-,Punctuation,9,4
-,Punctuation,10,3
-!,Punctuation,8,1
-!!!!,Punctuation,10,1
-!.,Punctuation,8,1
-*,Punctuation,9,1
-~,Punctuation,9,1
.,Punctuation,1,68
.,Punctuation,2,33
.,Punctuation,3,25
.,Punctuation,4,32
.,Punctuation,5,99
.,Punctuation,6,178
.,Punctuation,7,306
.,Punctuation,8,548
.,Punctuation,9,436
.,Punctuation,10,826
.!,Punctuation,10,3
.!!,Punctuation,9,1
.!!,Punctuation,10,4
.!!!,Punctuation,10,1
.!.!.!.!.!,Punctuation,9,1
.',Punctuation,10,1
.(,Punctuation,10,1
".,",Punctuation,4,1
".,",Punctuation,7,1
".,,.!",Punctuation,7,1
..,Punctuation,1,46
..,Punctuation,2,13
..,Punctuation,3,17
..,Punctuation,4,17
..,Punctuation,5,49
..,Punctuation,6,66
..,Punctuation,7,79
..,Punctuation,8,124
..,Punctuation,9,115
..,Punctuation,10,255
..!,Punctuation,1,3
..!,Punctuation,10,1
..!!,Punctuation,10,1
..!!!,Punctuation,7,1
..!!!,Punctuation,10,1
..),Punctuation,10,2
"..,,,!",Punctuation,10,1
..-_-,Punctuation,7,1
..-_-;;,Punctuation,5,1
...,Punctuation,1,32
...,Punctuation,2,12
...,Punctuation,3,16
...,Punctuation,4,14
...,Punctuation,5,46
...,Punctuation,6,60
...,Punctuation,7,99
...,Punctuation,8,99
...,Punctuation,9,95
...,Punctuation,10,157
...!,Punctuation,7,1
...!,Punctuation,8,1
...!,Punctuation,10,1
...!!!,Punctuation,10,1
...!!!!,Punctuation,8,1
"...,,..,,..,,",Punctuation,10,1
....,Punctuation,1,9
....,Punctuation,2,3
....,Punctuation,3,2
....,Punctuation,4,7
....,Punctuation,5,6
....,Punctuation,6,10
....,Punctuation,7,20
....,Punctuation,8,23
....,Punctuation,9,18
....,Punctuation,10,26
....!!,Punctuation,6,1
....(,Punctuation,10,1
......,Punctuation,1,1
....^^,Punctuation,10,1
...?,Punctuation,5,1
...?,Punctuation,10,2
...^^,Punctuation,8,2
...^^,Punctuation,10,2
...~~~,Punctuation,10,1
..;,Punctuation,6,1
..;;,Punctuation,2,1
..;;,Punctuation,6,1
..;;;,Punctuation,1,1
..?,Punctuation,5,2
..?,Punctuation,6,1
..?,Punctuation,7,3
..?,Punctuation,9,3
..?,Punctuation,10,2
..??,Punctuation,8,1
..^^,Punctuation,7,1
..^^,Punctuation,8,2
..^^,Punctuation,10,3
..^_^,Punctuation,8,1
..~,Punctuation,10,1
..~!,Punctuation,1,1
..~^^,Punctuation,10,1
..~~,Punctuation,8,1
..~~^^,Punctuation,9,1
./,Punctuation,10,1
.;;,Punctuation,8,1
.?,Punctuation,6,1
.?,Punctuation,7,2
.??,Punctuation,8,1
.^^,Punctuation,8,2
.^^,Punctuation,9,5
.^^,Punctuation,10,4
.^^!,Punctuation,10,1
.^^*,Punctuation,8,1
.^^.,Punctuation,10,1
.^^~,Punctuation,8,1
.^^~~,Punctuation,9,1
.~,Punctuation,8,1
.~^^,Punctuation,8,1
.~~,Punctuation,8,1
.~~^^,Punctuation,10,1
/,Punctuation,1,1
/,Punctuation,6,3
/,Punctuation,8,2
/,Punctuation,10,3
//,Punctuation,6,1
0,Number,1,1
0,Number,9,1
0,Number,10,1
0.1,Number,7,1
00,Number,8,1
1,Number,1,14
1,Number,4,5
1,Number,5,2
1,Number,7,5
1,Number,8,10
1,Number,9,9
1,Number,10,14
10,Number,1,3
10,Number,5,1
10,Number,6,2
10,Number,7,7
10,Number,8,8
10,Number,9,10
10,Number,10,40
100,Number,8,2
100,Number,9,1
100,Number,10,6
100%,Number,7,1
100%,Number,8,1
100%,Number,9,1
100%,Number,10,4
1000,Number,9,1
100년,Number,10,1
100분,Number,5,1
100분,Number,8,1
100원,Number,7,1
1010,Number,8,1
101010,Number,4,1
10101010,Number,10,1
1010101011010,Number,10,1
106분,Number,10,3
10~20,Number,8,1
10년,Number,7,2
10분,Number,7,1
10분,Number,10,2
11,Number,7,1
11,Number,10,3
12,Number,5,3
12,Number,7,5
12,Number,8,2
12,Number,9,4
12,Number,10,4
123456789,Number,10,1
123457899,Number,1,1
13,Number,1,1
140,Number,9,1
15,Number,2,1
15,Number,5,2
16,Number,10,1
16.12월,Number,6,1
16년,Number,9,1
17,Number,4,1
17.6월,Number,6,1
17000원,Number,1,1
177,Number,8,1
19,Number,10,1
19000원,Number,5,1
1967,Number,5,1
1:1,Number,5,1
1시,Number,10,1
2,Number,1,2
2,Number,2,1
2,Number,3,1
2,Number,5,3
2,Number,6,7
2,Number,7,4
2,Number,8,11
2,Number,9,17
2,Number,10,32
2%,Number,8,3
2.9,Number,7,1
2/20,Number,8,1
20,Number,6,1
20,Number,10,4
2000:1,Number,10,2
200만,Number,6,1
201,Number,10,1
2016,Number,5,1
2016,Number,10,1
2016-7,Number,8,1
2016.06,Number,6,1
2016년,Number,10,1
20년,Number,8,1
20년,Number,10,2
21,Number,10,1
24,Number,10,1
25,Number,6,1
25,Number,10,1
25년,Number,10,1
27,Number,8,1
27,Number,10,1
28,Number,10,1
2시간,Number,1,1
2시간,Number,8,1
2시간,Number,9,1
2시간,Number,10,5
3,Number,1,6
3,Number,3,2
3,Number,4,2
3,Number,5,3
3,Number,6,14
3,Number,7,13
3,Number,8,45
3,Number,9,54
3,Number,10,97
3.2,Number,8,1
30,Number,3,1
30,Number,7,1
30,Number,8,1
30,Number,9,1
30,Number,10,7
30%,Number,7,1
30분,Number,1,1
30분,Number,6,1
30분,Number,7,1
30분,Number,10,1
31,Number,10,1
33,Number,7,1
33,Number,8,1
33,Number,10,2
34,Number,10,1
35,Number,6,1
35,Number,10,2
3~4,Number,10,1
3년,Number,10,1
3억,Number,1,1
4,Number,1,2
4,Number,2,1
4,Number,3,1
4,Number,4,3
4,Number,5,5
4,Number,6,4
4,Number,7,7
4,Number,8,22
4,Number,9,25
4,Number,10,73
40,Number,7,1
400%,Number,10,1
40분,Number,10,2
44,Number,10,1
46,Number,9,1
4~5,Number,1,1
4년,Number,1,1
4시,Number,10,1
5,Number,1,1
5,Number,4,1
5,Number,6,3
5,Number,7,4
5,Number,8,8
5,Number,9,10
5,Number,10,14
50,Number,9,1
5000원,Number,1,1
500원,Number,5,3
500원,Number,9,1
500원,Number,10,1
50분,Number,9,1
50분,Number,10,1
55,Number,10,1
5500원,Number,5,1
5분,Number,5,1
5분,Number,6,1
5월,Number,9,1
5천원,Number,1,1
6,Number,1,1
6,Number,5,2
6,Number,6,8
6,Number,7,3
6,Number,8,27
6,Number,9,14
6,Number,10,24
6.1,Number,6,1
65년,Number,10,1
67년,Number,10,2
6~12,Number,5,1
6년,Number,4,1
7,Number,1,1
7,Number,5,2
7,Number,6,1
7,Number,7,16
7,Number,8,14
7,Number,9,10
7,Number,10,30
7-8,Number,9,1
7.5,Number,1,1
70,Number,10,1
77,Number,10,2
7시,Number,10,1
7월,Number,1,1
8,Number,1,3
8,Number,5,1
8,Number,6,1
8,Number,7,4
8,Number,8,10
8,Number,9,6
8,Number,10,12
8.4,Number,8,1
8.5,Number,8,1
8.5,Number,9,1
8.54,Number,6,1
80,Number,9,1
8000원,Number,4,1
87년,Number,7,1
9,Number,1,1
9,Number,2,1
9,Number,6,1
9,Number,8,5
9,Number,9,16
9,Number,10,9
9.5,Number,7,1
9.5,Number,9,1
90,Number,9,1
90%,Number,9,1
90년,Number,10,1
94년,Number,9,1
95%,Number,7,1
95년,Number,10,1
96%,Number,1,1
:,Punctuation,1,1
:,Punctuation,5,2
:,Punctuation,7,1
:,Punctuation,8,1
:,Punctuation,10,3
:),Punctuation,8,3
:),Punctuation,9,4
:),Punctuation,10,13
:-),Punctuation,10,1
;,Punctuation,2,1
;,Punctuation,6,2
;,Punctuation,7,3
;,Punctuation,8,3
;,Punctuation,10,3
;.,Punctuation,1,1
;;,Punctuation,1,2
;;,Punctuation,2,2
;;,Punctuation,3,1
;;,Punctuation,5,1
;;,Punctuation,6,4
;;,Punctuation,7,2
;;,Punctuation,8,4
;;,Punctuation,9,1
;;,Punctuation,10,7
;;!!!,Punctuation,10,1
;;;,Punctuation,1,1
;;;,Punctuation,2,1
;;;,Punctuation,7,1
;;;,Punctuation,9,1
<,Punctuation,5,1
<,Punctuation,9,1
<,Punctuation,10,5
=,Punctuation,5,1
=,Punctuation,9,1
=,Punctuation,10,2
>,Punctuation,8,3
>,Punctuation,9,2
>,Punctuation,10,5
">,<",Punctuation,9,1
><,Punctuation,9,1
><~,Punctuation,9,1
>>>>,Punctuation,9,1
>_,Punctuation,9,1
>_<,Punctuation,8,1
>_<,Punctuation,10,4
?,Punctuation,1,12
?,Punctuation,2,4
?,Punctuation,3,4
?,Punctuation,4,3
?,Punctuation,5,5
?,Punctuation,6,13
?,Punctuation,7,15
?,Punctuation,8,30
?,Punctuation,9,27
?,Punctuation,10,43
?!,Punctuation,8,2
?!,Punctuation,9,1
?!,Punctuation,10,3
?),Punctuation,8,1
?),Punctuation,10,1
?..,Punctuation,10,1
?...,Punctuation,10,1
?.?,Punctuation,8,1
??,Punctuation,1,1
??,Punctuation,2,1
??,Punctuation,5,5
??,Punctuation,7,3
??,Punctuation,8,3
??,Punctuation,9,3
??,Punctuation,10,19
??),Punctuation,10,1
???,Punctuation,1,1
???,Punctuation,7,1
???,Punctuation,10,3
????,Punctuation,4,1
????,Punctuation,5,1
????,Punctuation,8,1
????,Punctuation,10,1
??????,Punctuation,10,1
????????????????,Punctuation,10,1
?^^,Punctuation,8,1
@@,Punctuation,10,1
A,Alpha,6,1
Asdffgnwkcl,Alpha,10,1
Bare,Alpha,7,1
Bare,Alpha,10,1
Book,Alpha,10,2
C,Alpha,10,1
CG,Alpha,1,5
CG,Alpha,2,1
CG,Alpha,3,6
CG,Alpha,4,4
CG,Alpha,5,16
CG,Alpha,6,29
CG,Alpha,7,49
CG,Alpha,8,82
CG,Alpha,9,62
CG,Alpha,10,114
CGI,Alpha,8,1
Cg,Alpha,5,1
Cg,Alpha,6,6
Cg,Alpha,7,9
Cg,Alpha,8,4
Cg,Alpha,9,6
Cg,Alpha,10,10
D,Alpha,3,1
D,Alpha,5,5
D,Alpha,6,12
D,Alpha,7,10
D,Alpha,8,40
D,Alpha,9,48
D,Alpha,10,108
DVD,Alpha,10,1
DX,Alpha,5,1
DX,Alpha,7,1
DX,Alpha,8,2
DX,Alpha,9,3
DX,Alpha,10,13
Ebs,Alpha,8,1
Family,Alpha,8,1
G,Alpha,9,1
G,Alpha,10,2
He,Alpha,7,1
I,Alpha,7,2
I,Alpha,9,1
IMAX,Alpha,8,1
IMAX,Alpha,9,2
IMAX,Alpha,10,4
IT,Alpha,8,1
Imax,Alpha,9,1
It,Alpha,9,1
KKH,Alpha,9,1
LA,Alpha,9,1
MCU,Alpha,8,1
NR,Alpha,10,1
Not,Alpha,10,1
OK,Alpha,9,1
OO,Alpha,5,1
OO,Alpha,8,1
OO,Alpha,9,1
OO,Alpha,10,2
OOO,Alpha,1,1
OST,Alpha,9,1
Ost,Alpha,10,1
Quiet,Alpha,8,1
S,Alpha,6,1
So,Alpha,10,1
Soso,Alpha,8,1
Sososososososo,Alpha,5,1
T,Alpha,5,2
T,Alpha,10,4
TV,Alpha,5,1
TV,Alpha,8,1
TV,Alpha,10,2
The,Alpha,8,1
Trust,Alpha,10,1
V,Alpha,6,1
VFX,Alpha,8,1
[,Punctuation,6,1
[,Punctuation,8,1
\,Punctuation,8,1
],Punctuation,6,1
],Punctuation,8,1
],Punctuation,9,1
^,Punctuation,1,2
^,Punctuation,2,1
^,Punctuation,5,1
^,Punctuation,8,2
^,Punctuation,9,1
^,Punctuation,10,5
"^&*()-'""!@#)",Punctuation,10,1
^---^,Punctuation,9,1
^-^,Punctuation,7,1
^-^,Punctuation,9,1
^...,Punctuation,10,1
^.^,Punctuation,8,1
^.^,Punctuation,10,1
^.^!,Punctuation,10,1
^^,Punctuation,1,1
^^,Punctuation,5,3
^^,Punctuation,6,4
^^,Punctuation,7,15
^^,Punctuation,8,64
^^,Punctuation,9,70
^^,Punctuation,10,161
^^!!,Punctuation,8,2
^^%,Punctuation,8,1
^^*,Punctuation,10,6
^^.,Punctuation,10,1
^^..,Punctuation,8,1
^^....,Punctuation,8,1
^^;,Punctuation,7,1
^^;;,Punctuation,5,1
^^;;,Punctuation,8,1
^^;;,Punctuation,9,1
^^;;;;,Punctuation,3,1
^^^,Punctuation,9,1
^^^,Punctuation,10,1
^^^^,Punctuation,10,1
^^^~,Punctuation,10,1
^^~,Punctuation,8,2
^^~,Punctuation,9,2
^^~^^~,Punctuation,10,1
^^~~,Punctuation,9,2
^^~~~~,Punctuation,10,1
^^~~~~!!!!,Punctuation,10,1
^_^,Punctuation,8,1
^_^,Punctuation,10,1
^___^,Punctuation,10,1
^~,Punctuation,8,1
^~^,Punctuation,10,1
^~~^,Punctuation,8,1
_,Punctuation,9,1
_,Punctuation,10,5
`,Punctuation,10,1
``,Punctuation,10,1
a,Alpha,10,1
amazing,Alpha,10,2
and,Alpha,7,1
and,Alpha,10,2
b,Alpha,7,1
b,Alpha,10,3
bad,Alpha,10,1
bare,Alpha,7,1
bare,Alpha,10,1
bb,Alpha,7,1
bgm,Alpha,9,1
book,Alpha,2,2
but,Alpha,8,1
but,Alpha,9,1
bwj,Alpha,4,1
bxho,Alpha,4,1
by,Alpha,7,1
cg,Alpha,1,6
cg,Alpha,2,1
cg,Alpha,3,2
cg,Alpha,4,3
cg,Alpha,5,1
cg,Alpha,6,22
cg,Alpha,7,28
cg,Alpha,8,49
cg,Alpha,9,46
cg,Alpha,10,72
cgv,Alpha,10,1
ch,Alpha,10,1
character,Alpha,7,1
d,Alpha,1,4
d,Alpha,3,2
d,Alpha,4,2
d,Alpha,5,3
d,Alpha,6,8
d,Alpha,7,7
d,Alpha,8,16
d,Alpha,9,22
d,Alpha,10,40
dd,Alpha,8,1
dd,Alpha,10,1
dead,Alpha,8,1
du,Alpha,4,1
dvd,Alpha,7,1
dx,Alpha,2,1
dx,Alpha,4,2
dx,Alpha,7,1
dx,Alpha,8,3
dx,Alpha,9,2
dx,Alpha,10,5
excellent,Alpha,10,1
excited,Alpha,7,1
flew,Alpha,7,1
for,Alpha,7,1
forever,Alpha,7,1
gd,Alpha,8,1
gogo,Alpha,10,1
goo,Alpha,8,1
good,Alpha,7,3
good,Alpha,8,24
good,Alpha,9,3
good,Alpha,10,4
goodgood,Alpha,8,1
goood,Alpha,10,1
hart,Alpha,10,1
have,Alpha,10,1
hchjwodox,Alpha,4,1
if,Alpha,10,1
imax,Alpha,10,2
impressive,Alpha,7,1
in,Alpha,7,1
in,Alpha,10,1
ip,Alpha,10,1
is,Alpha,9,1
jm,Alpha,8,1
jukgjft,Alpha,1,1
jxixiu,Alpha,4,1
kbs,Alpha,5,1
kid,Alpha,7,1
kjl,Alpha,1,1
love,Alpha,7,1
m,Alpha,8,1
me,Alpha,10,1
mmmnnmmnnmmn,Alpha,1,1
morning,Alpha,7,1
most,Alpha,7,1
movie,Alpha,8,1
necessities,Alpha,7,2
necessities,Alpha,10,2
nice,Alpha,10,2
o,Alpha,9,1
o,Alpha,10,1
ost,Alpha,8,1
ost,Alpha,9,1
ost,Alpha,10,2
part,Alpha,8,1
perfect,Alpha,10,1
pleasant,Alpha,8,1
real,Alpha,9,1
really,Alpha,7,1
sad,Alpha,8,1
see,Alpha,10,1
seems,Alpha,9,1
so,Alpha,7,1
some,Alpha,8,1
soso,Alpha,4,1
soso,Alpha,8,1
that,Alpha,7,1
the,Alpha,7,2
the,Alpha,10,1
thumbs,Alpha,8,1
time,Alpha,7,1
to,Alpha,8,1
to,Alpha,10,1
tooo,Alpha,7,1
tothe,Alpha,10,1
tree,Alpha,8,1
tv,Alpha,9,1
tv,Alpha,10,1
up,Alpha,8,1
very,Alpha,10,2
vod,Alpha,9,2
vs,Alpha,10,1
warm,Alpha,10,1
was,Alpha,7,3
watch,Alpha,7,1
watch,Alpha,8,1
you,Alpha,10,1
z,Alpha,5,2
zhzywhxu,Alpha,4,1
~,Punctuation,1,6
~,Punctuation,3,2
~,Punctuation,4,1
~,Punctuation,5,7
~,Punctuation,6,17
~,Punctuation,7,44
~,Punctuation,8,122
~,Punctuation,9,162
~,Punctuation,10,276
~!,Punctuation,6,1
~!,Punctuation,7,1
~!,Punctuation,8,4
~!,Punctuation,9,7
~!,Punctuation,10,8
~!!,Punctuation,7,1
~!!,Punctuation,10,15
~!!!,Punctuation,9,1
~!!!,Punctuation,10,3
~!!!!,Punctuation,10,2
~!!!!^^,Punctuation,9,1
~!!^^,Punctuation,10,1
~!!_\|~<>$??,Punctuation,10,1
~!^^,Punctuation,10,1
~!~!~!,Punctuation,8,1
~',Punctuation,7,1
~(,Punctuation,10,1
~),Punctuation,8,1
~*,Punctuation,9,1
~*~*~*,Punctuation,10,1
"~,",Punctuation,9,1
~....,Punctuation,9,1
~.~,Punctuation,9,1
~.~,Punctuation,10,1
~/,Punctuation,8,1
~>.<,Punctuation,10,1
~><,Punctuation,5,1
~><,Punctuation,9,1
~@^,Punctuation,8,1
~^*^,Punctuation,10,1
~^-^,Punctuation,10,1
~^^,Punctuation,6,1
~^^,Punctuation,7,3
~^^,Punctuation,8,20
~^^,Punctuation,9,27
~^^,Punctuation,10,43
~^^!,Punctuation,10,1
~^^;,Punctuation,7,1
~^^;;,Punctuation,10,1
~^^;;;,Punctuation,7,1
~^^^,Punctuation,10,2
~_~,Punctuation,10,1
~~,Punctuation,1,1
~~,Punctuation,4,1
~~,Punctuation,5,2
~~,Punctuation,6,7
~~,Punctuation,7,10
~~,Punctuation,8,40
~~,Punctuation,9,84
~~,Punctuation,10,140
~~!,Punctuation,8,1
~~!,Punctuation,9,1
~~!,Punctuation,10,4
~~!!,Punctuation,8,2
~~!!,Punctuation,9,3
~~!!,Punctuation,10,2
~~!!!,Punctuation,7,3
~~!!!,Punctuation,9,2
~~!!!,Punctuation,10,1
~~!~~~@~~~~,Punctuation,9,1
~~.,Punctuation,8,2
~~?,Punctuation,7,1
~~^^,Punctuation,5,2
~~^^,Punctuation,7,1
~~^^,Punctuation,8,11
~~^^,Punctuation,9,19
~~^^,Punctuation,10,18
~~~,Punctuation,3,1
~~~,Punctuation,5,2
~~~,Punctuation,6,1
~~~,Punctuation,7,5
~~~,Punctuation,8,16
~~~,Punctuation,9,18
~~~,Punctuation,10,37
~~~!!,Punctuation,9,1
~~~!!,Punctuation,10,1
~~~!!!!,Punctuation,10,2
~~~**,Punctuation,10,1
~~~....~~,Punctuation,8,1
~~~?,Punctuation,10,1
~~~^^,Punctuation,8,1
~~~^^,Punctuation,9,6
~~~^^,Punctuation,10,8
~~~~,Punctuation,6,1
~~~~,Punctuation,7,2
~~~~,Punctuation,8,6
~~~~,Punctuation,9,4
~~~~,Punctuation,10,11
~~~~!,Punctuation,10,1
~~~~!!,Punctuation,8,2
~~~~?!?!,Punctuation,10,1
~~~~^^,Punctuation,8,2
~~~~^^,Punctuation,10,1
°,Foreign,10,2
·,Punctuation,10,1
‥,Foreign,8,1
‥,Foreign,9,1
…,Punctuation,9,2
…,Punctuation,10,6
……,Punctuation,9,1
↑,Foreign,9,1
↓,Foreign,9,1
●,Foreign,10,1
★★,Foreign,9,1
☆,Foreign,10,1
☆♡,Foreign,10,1
♡,Foreign,5,1
♡,Foreign,7,1
♡,Foreign,8,7
♡,Foreign,9,7
♡,Foreign,10,38
♡♡,Foreign,5,1
♡♡,Foreign,9,2
♡♡,Foreign,10,9
♡♡♡,Foreign,9,1
♡♡♡,Foreign,10,3
♡♡♡♡,Foreign,8,1
♡♡♡♡,Foreign,10,5
♤♡☆♧,Foreign,10,1
♥,Foreign,8,1
♥,Foreign,9,1
♥,Foreign,10,5
♥☆,Foreign,10,1
♥♥,Foreign,10,3
♪,Foreign,10,1
♪♪,Foreign,9,1
　,Foreign,6,1
。,Foreign,7,1
ㄱ,KoreanParticle,9,1
ㄱ,KoreanParticle,10,1
ㄱㄱ,KoreanParticle,1,1
ㄱㄱ,KoreanParticle,8,1
ㄱㄷㄱ,KoreanParticle,6,1
ㄱㅈㅂ,KoreanParticle,4,1
ㄴ,KoreanParticle,5,1
ㄴ,KoreanParticle,8,2
ㄴㄴ,KoreanParticle,10,2
ㄴㅈㅂ,KoreanParticle,10,1
ㄴㅣ,KoreanParticle,9,1
ㄷ,KoreanParticle,3,1
ㄷ,KoreanParticle,10,4
ㄷㄷ,KoreanParticle,1,1
ㄷㄷ,KoreanParticle,7,1
ㄷㄷ,KoreanParticle,8,2
ㄷㄷ,KoreanParticle,9,1
ㄷㄷ,KoreanParticle,10,4
ㄷㄷㄷ,KoreanParticle,10,1
ㄷㄷㄷㄷ,KoreanParticle,8,1
ㄷㄷㄷㄷ,KoreanParticle,10,1
ㄷㅇ,KoreanParticle,9,1
ㄷㅈ,KoreanParticle,6,1
ㄷㅓ,KoreanParticle,10,1
ㄹ,KoreanParticle,9,1
ㄹ,KoreanParticle,10,3
ㄹㅇ,KoreanParticle,1,1
ㄹㅇ,KoreanParticle,8,3
ㄹㅇ,KoreanParticle,10,1
ㄹㅊㄴㅎ,KoreanParticle,8,1
ㅁ,KoreanParticle,9,1
ㅁ,KoreanParticle,10,1
ㅂ,KoreanParticle,10,1
ㅂㄷ,KoreanParticle,4,1
ㅂㄷㅂㄷ,KoreanParticle,7,1
ㅂㄹ,KoreanParticle,3,1
ㅅ,KoreanParticle,1,1
ㅅ,KoreanParticle,6,1
ㅅ,KoreanParticle,8,2
ㅅ,KoreanParticle,9,1
ㅅ,KoreanParticle,10,2
ㅅㄴ,KoreanParticle,10,1
ㅅㄷ,KoreanParticle,10,1
ㅅㅣ,KoreanParticle,10,1
ㅆ,KoreanParticle,10,2
ㅆㅅㅌㅊ,KoreanParticle,10,1
ㅇ,KoreanParticle,3,1
ㅇ,KoreanParticle,5,1
ㅇ,KoreanParticle,6,1
ㅇ,KoreanParticle,8,2
ㅇ,KoreanParticle,9,1
ㅇ,KoreanParticle,10,6
ㅇㄷㅁ,KoreanParticle,10,1
ㅇㄹ,KoreanParticle,10,1
ㅇㅁ,KoreanParticle,10,1
ㅇㅁㅇ,KoreanParticle,7,1
ㅇㅅㅇ,KoreanParticle,10,1
ㅇㅇ,KoreanParticle,6,2
ㅇㅇ,KoreanParticle,8,6
ㅇㅇ,KoreanParticle,10,3
ㅇㅇㅇ,KoreanParticle,6,2
ㅇㅇㅇ,KoreanParticle,8,1
ㅇㅇㅇ,KoreanParticle,10,1
ㅇㅇㅈ,KoreanParticle,10,1
ㅇㅈ,KoreanParticle,10,1
ㅇㅈㄱ,KoreanParticle,8,1
ㅇㅌ,KoreanParticle,10,1
ㅇㅎ,KoreanParticle,10,1
ㅇㅓ,KoreanParticle,1,1
ㅇㅕㅇ,KoreanParticle,10,1
ㅇㅣ,KoreanParticle,9,1
ㅈ,KoreanParticle,1,1
ㅈ,KoreanParticle,8,1
ㅈ,KoreanParticle,9,4
ㅈㄱㅅ,KoreanParticle,9,1
ㅈㄴ,KoreanParticle,10,1
ㅈㄷ,KoreanParticle,10,1
ㅈㄹ,KoreanParticle,1,1
ㅉ,KoreanParticle,10,1
ㅊㅊ,KoreanParticle,10,1
ㅋ,KoreanParticle,1,5
ㅋ,KoreanParticle,3,1
ㅋ,KoreanParticle,5,3
ㅋ,KoreanParticle,6,7
ㅋ,KoreanParticle,7,11
ㅋ,KoreanParticle,8,25
ㅋ,KoreanParticle,9,32
ㅋ,KoreanParticle,10,76
ㅋㄴㅋ,KoreanParticle,10,1
ㅋㄷㅋㄷ,KoreanParticle,1,1
ㅋㄷㅋㄷ,KoreanParticle,8,1
ㅋㅋ,KoreanParticle,1,2
ㅋㅋ,KoreanParticle,5,2
ㅋㅋ,KoreanParticle,6,6
ㅋㅋ,KoreanParticle,7,21
ㅋㅋ,KoreanParticle,8,50
ㅋㅋ,KoreanParticle,9,43
ㅋㅋ,KoreanParticle,10,131
ㅋㅋㄴ,KoreanParticle,8,1
ㅋㅋㅇ,KoreanParticle,7,1
ㅋㅋㅋ,KoreanParticle,1,3
ㅋㅋㅋ,KoreanParticle,2,1
ㅋㅋㅋ,KoreanParticle,3,1
ㅋㅋㅋ,KoreanParticle,5,1
ㅋㅋㅋ,KoreanParticle,6,4
ㅋㅋㅋ,KoreanParticle,7,7
ㅋㅋㅋ,KoreanParticle,8,18
ㅋㅋㅋ,KoreanParticle,9,24
ㅋㅋㅋ,KoreanParticle,10,66
ㅋㅋㅋㄱ,KoreanParticle,10,1
